	C_01_0w	C_01_4w	C_04_0w	C_04_4w	C_05_0w	C_05_4w	C_06_0w	C_06_4w	C_07_0w	C_07_4w	C_08_0w	C_08_4w	C_12_0w	C_12_4w	C_13_0w	C_13_4w	C_16_0w	C_16_4w	C_19_0w	C_19_4w	C_20_0w	C_20_4w	C_21_0w	C_21_4w	C_23_0w	C_23_4w	C_24_0w	C_24_4w	C_27_0w	C_27_4w	C_30_0w	C_30_4w	C_32_0w	C_32_4w	C_37_0w	C_37_4w	C_38_0w	C_38_4w	C_41_0w	C_41_4w	C_42_0w	C_42_4w	C_43_0w	C_43_4w	C_47_0w	C_47_4w	C_49_0w	C_49_4w	C_52_0w	C_52_4w	C_53_0w	C_53_4w	C_56_0w	C_56_4w	C_57_0w	C_57_4w	C_59_0w	C_59_4w	C_62_0w	C_62_4w	C_63_0w	C_63_4w	C_64_0w	C_64_4w	C_66_0w	C_66_4w	C_67_0w	C_67_4w	C_69_0w	C_69_4w	C_70_0w	C_70_4w	C_75_0w	C_75_4w	C_78_0w	C_78_4w	C_80_0w	C_80_4w	C_82_0w	C_82_4w	T_02_0w	T_02_4w	T_03_0w	T_03_4w	T_09_0w	T_09_4w	T_10_0w	T_10_4w	T_11_0w	T_11_4w	T_14_0w	T_14_4w	T_15_0w	T_15_4w	T_17_0w	T_17_4w	T_18_0w	T_18_4w	T_22_0w	T_22_4w	T_25_0w	T_25_4w	T_26_0w	T_26_4w	T_28_0w	T_28_4w	T_29_0w	T_29_4w	T_31_0w	T_31_4w	T_33_0w	T_33_4w	T_34_0w	T_34_4w	T_35_0w	T_35_4w	T_36_0w	T_36_4w	T_39_0w	T_39_4w	T_40_0w	T_40_4w	T_44_0w	T_44_4w	T_45_0w	T_45_4w	T_50_0w	T_50_4w	T_51_0w	T_51_4w	T_54_0w	T_54_4w	T_55_0w	T_55_4w	T_58_0w	T_58_4w	T_60_0w	T_60_4w	T_65_0w	T_65_4w	T_68_0w	T_68_4w	T_71_0w	T_71_4w	T_72_0w	T_72_4w	T_73_0w	T_73_4w	T_74_0w	T_74_4w	T_76_0w	T_76_4w	T_77_0w	T_77_4w	T_79_0w	T_79_4w	T_85_0w	T_85_4w	T_87_0w	T_87_4w
Thr	205.304705862526	170.494450440165	325.175222948895	509.360687702961	159.200912809748	174.617137275604	458.630368898656	126.080683866238	150.328312586163	129.557319987944	353.541437567528	217.481644342686	321.355173218384	1222.23515756787	835.25406823921	1807.30015688413	84.6293560679041	67.966388583028	972.1670597795	335.392213230946	6286.20959849829	533.207101044454	261.130329745062	216.863732462893	150.893011931813	267.302247857175	198.837807542583	653.319863521773	750.738587955578	596.011850197234	221.862206192948	272.676640665045	128.125279309721	235.098856624711	558.815660495384	112.486981152868	175.860353460477	250.841334486552	108.388966045686	141.733697478889	205.849860952824	259.923409105782	98.886580406069	165.353684386823	670.431291306314	93.1918159968641	121.621210073279	154.49510467469	341.041940113974	693.650136061498	439.300677866261	220.90231747199	2527.97788898241	166.308399244755	309.557374995955	216.704907638124	83.2381857865558	148.865549828103	625.514209935968	1156.55796041206	136.460153751688	123.788842697808	699.196108563085	318.992022512624	823.287292852013	296.94508707742	239.782077929069	176.397072030818	3625.07736844505	354.728927272478	206.895584792223	1985.5167482500501	567.425556401999	95.1818330674981	90.881230408418	117.732536473336	507.586763547436	323.105422083808	711.362282264613	404.182703188212	124.726105783916	129.4044923295	306.96448952138	1414.88529107734	56.8657737678571	68.2374805747258	360.112773643313	244.150219520592	130.95532640145	349.789701623897	480.889313013263	119.476084223216	129.574248457176	117.385895792458	2058.42869142064	429.999566499222	289.374944291578	292.294829867657	136.994299975294	271.208951565045	201.453714974209	177.726860239663	306.644725715783	139.2678808045	170.382270343886	101.673529219181	162.481580698332	328.25710162362	718.602254075622	2627.74022729405	70.8364390383512	99.8204616561531	260.048447947996	266.539380444934	859.75985686103	400.824876654018	252.894734516336	140.379605284795	108.245994878241	336.722805466622	218.183073006597	129.400116736136	69.6794572401692	138.332396866024	141.148454041831	474.871961472003	83.200000098768	83.6422899203019	167.835729167739	1383.7218349069	303.01534129029	191.467157886998	790.603710518335	795.152798751987	682.487922945679	241.281445047016	58.5521858406543	473.287192837676	446.730167513988	4353.4663346238	786.587544490284	1210.432113589	391.680482560709	523.187686551576	1191.39599615081	1129.4709918817	205.782272430055	197.793680841521	427.310344275569	637.195915220735	143.803498346738	146.801122844239	355.830468271011	3500.61125020045	393.080341744331	943.154185833601	242.608033056035	495.139183238763	171.962592884368	88.56274986218
His	251.847935514922	165.948381334975	479.605055898102	340.082926839788	290.8215268267	223.699780431328	337.210353877002	379.898139127867	126.681118686849	175.358770679519	352.372861103142	316.464913383926	412.313054909325	2030.2207828928	5658.69466608203	1661.57179146707	117.604147314495	150.652374701561	343.024916456416	420.745065358655	5795.13457211812	448.45412536506	324.605999491615	263.829091738352	257.416140906693	559.591370229934	109.317439111386	181.338887062954	572.088524945068	758.531718266886	202.230802163055	201.568608083444	215.851922028398	186.536399906258	389.676846673926	307.912382329218	387.552144028001	365.965946457415	377.639369072974	159.269954492697	124.472430541462	185.459532443043	140.65759457478	264.415159627238	309.138346648169	162.071971273665	339.846299513503	222.295919093769	294.137225111363	421.059847716964	305.715203286136	351.152397577521	262.636271698139	94.6526193738942	319.228727778776	459.221483361475	66.23040167771	292.547553858704	480.820545458652	501.860831898083	214.138496329613	189.960898427885	539.500199865561	261.330683460381	592.446180514577	351.953011936797	331.937098895772	135.249463802035	2927.87089200442	6192.60646028094	291.368916261797	277.637482191066	361.81355064543	187.66367080005801	132.391329101208	461.749124566498	295.240624786589	224.092820764507	254.63181705128	400.628627432573	106.843449780512	180.387859765039	365.165377176934	2319.38905270565	113.772072252776	148.649096130868	611.102481656566	392.413981839094	237.809320307625	439.303672905823	247.23755332889	137.499955441485	281.9146541268	266.284041400188	915.364836744898	565.754684035185	447.509806916725	446.315473498197	207.910471602993	299.957012514978	319.664541526591	304.936553957298	319.327866713082	138.662493149353	161.462697269	153.358665205999	138.651784466137	174.931607749661	477.521973486183	743.408277781946	123.907563852759	194.465370830783	338.199345474864	229.981404152396	357.088725317973	353.980562547291	346.794881634667	217.419303739631	198.896599201023	373.619905174835	161.628564074115	124.012032541126	103.382495659827	137.834009210945	143.487239156955	267.865914195284	292.729323667923	167.859036717654	358.321959407714	761.334958120033	376.119361185522	254.521573550582	428.309507441946	462.313282864324	669.392847939306	213.171919132752	336.185384238854	535.702683746355	346.137517747888	295.378586849466	505.846210582338	619.572548816342	329.785798244047	318.392450398915	338.424131423034	728.902499885813	649.148985884068	232.141920306492	239.546376588449	285.364631963458	272.310283524609	493.17354745927	770.066099850585	1282.2299794983	198.251838715355	165.711018591184	508.136341762953	1277.29593798883	340.166435204203	347.484278088333
Phe	101.992362331553	62.837638013105	124.58626111185	384.174164235391	260.696728834711	172.074654053945	77.478224521152	265.201516277024	87.5951526688688	110.284649006794	183.34847938425	143.725349682451	161.213283914605	972.720251902819	119.036370573614	135.5350427045	78.5261743218294	80.3311843137169	167.259015946887	134.394395732824	9124.07453294491	274.144918462838	564.818001758804	864.44989787508	136.459572122497	166.989398040876	88.0477948528927	256.190409348788	554.284767088754	337.873745402162	237.043383544592	159.894378541506	84.185844367764	105.455475167586	4114.02954267656	110.85824154462	121.735647233052	164.218432007258	94.1276019023644	103.515887664855	52.6079171509262	37.7261617199838	89.9255539104151	107.188841914098	977.860440689113	186.918245485382	64.2541543279895	52.297811181087	143.881629460498	210.132874916383	226.051136321859	114.164041573373	4599.57540996072	219.976121106296	110.36514705151	160.75671553261	100.386048230572	162.832414025317	208.633782208578	393.746076784785	56.7623321535293	70.0398555995352	206.822126886756	138.543772941677	3502.51760923227	114.196969121308	181.608087469616	136.508242546056	240.444517086035	242.474046265315	141.948833317308	178.316759209535	152.333840738745	128.707768351138	142.53038564639	119.172023920566	190.688904355	157.665630780964	4673.80573502659	407.210068528458	29.8712787936133	95.7511921114973	91.6637696725749	1948.62464200664	44.2370714178525	63.6937569968609	5067.7810118217	131.957601991213	108.402837736944	114.862363117782	248.248368782032	48.2038113671666	123.803788378145	91.239026699849	1095.17649472885	306.136505119949	94.5351053392916	230.367310736191	87.9765930930519	242.762233468364	149.747604578547	102.504982131377	126.028962206146	177.141727230418	131.707864618645	78.25395097454	159.423013442773	233.290354965426	534.508049736656	781.810446125684	42.5565739922734	80.5312118676611	138.891704867906	103.729415630376	473.50831655201	522.115552794153	213.098809643177	84.1885947523185	46.675448717942	151.736276839524	83.1924955177756	46.0577286947359	56.8407107896745	61.0417655247264	114.279049120167	417.361345932534	92.528255630771	130.735490994337	84.5054260416892	368.767941394873	299.272342018115	64.1488467671567	391.062222308414	405.948479087648	363.394670301613	289.45651460171	135.266378328391	267.52561435280097	1842.29911397633	2001.49246424522	229.839556746719	1235.29545792401	116.591830501783	162.766475682043	334.586638658452	559.029133824127	563.357227712247	74.6522765464606	2124.35355319207	5452.47305837728	52.2845141974498	103.033930891922	203.064275027152	907.336503998927	130.30155408798	1147.52844088431	355.57844871031	190.185824766162	86.475720256919	120.313361539112
GABA	61.2060141251448	0.0	1920.0261053454	984.251764371949	709.666988976873	43.9827685788998	83.0880495181941	198.88327025893	70.0975598533375	105.849492520032	165.958407922408	53.050052276335	137.766207332883	579.287594419904	1358.20168802721	400.697260543176	47.6530118828456	42.9264860101285	231.345317920693	52.3448924510293	370.906332920253	1517.09042649926	150.963762854004	282.900501408885	74.3025955708763	54.3588463363033	711.167255629887	1107.90749924075	130.482730591391	178.479497839547	69.26762442064	71.7694128427828	54.5684515548137	765.886153059871	509.253062560446	39.3617421562842	68.5678942290811	56.3443714161558	47.261678316629	56.957649110688	1279.81975944774	73.2644018503737	42.6550278376522	61.850257409807	251.731949577169	106.826626711201	69.3613440494917	84.8519912279489	140.595121750482	85.3302744652137	2431.60627533951	4192.92840016743	1755.89509283416	1042.90723009348	198.793733506916	86.868525356456	47.5958034218191	82.9193348553072	225.843994295998	280.367741785863	70.6577966671216	47.7455004568774	86.6242689533067	51.8649789463374	977.133389753844	3846.61972987029	69.0772734532189	105.611295793577	1314.61640427518	1175.53854187848	109.941107220543	522.716978097311	184.154381622685	69.3664329804403	66.7450840936712	98.0556552670959	475.991337545483	51.8578101125029	1674.35813092121	498.949229329054	33.726820953062	40.6693865008359	59.378289762147	2193.32810729028	53.8547042554025	46.3849722547214	5220.55974080877	957.270324486928	91.3701643152075	123.529119921976	540.773910965222	3999.10223313578	84.4628945051068	80.5751827550856	314.656724802274	129.903690022922	1229.67096372473	2511.94948578559	48.7267159353537	60.4423345064241	61.6409749255323	53.1669330390144	204.405706557429	58.5946310154546	117.754205177233	91.886587188155	1213.99158980746	2802.00313059767	139.633422714667	836.672160687964	25.4736910624815	36.8529809220319	265.427669022832	60.9451361043567	82.3416700589896	151.803934941498	44.2017189348171	33.0998733062884	48.0171803640142	772.380668412797	63.130707972584	49.8300835652533	55.1042099774435	71.8262212801908	56.0665205398125	470.940821215347	79.7318964848323	108.450070916315	54.3135228640823	115.082794300203	1402.85437823786	663.069495932124	250.379895724825	112.11253549214	1115.75056100064	856.806495948257	72.016767052362	606.657782673388	315.945314267457	473.653578376272	138.69132141567	105.017969430998	253.897063457816	258.424512075823	736.026909395734	381.442118657383	173.803773053767	51.2297215110473	390.162303715212	163.137224157701	36.3093156809092	53.0366942525966	666.984052139433	222.248044787756	174.328620549133	118.496828741741	130.148635875831	552.148385783648	42.5613128792855	45.8448284303125
Ser	393.668449435068	231.455662410445	537.716467632231	456.845095610483	586.91828964096	540.279228297	406.610190920697	530.673399338091	226.40385797478	193.662107020868	467.899464159984	514.621736559409	745.022473709812	563.499820852377	561.921486628175	442.271428355232	190.91678325284	247.608909892939	373.527649821729	371.488968574957	1057.64548536466	601.726850072057	473.256950361527	431.294555249572	359.914969449179	407.914295947914	291.511137979001	746.09807803892	415.614073607683	399.378916508142	642.03369181122	492.065291636002	273.750517550141	400.819825936842	513.322175134084	323.546166056329	309.316713350371	359.028873508568	286.827429679257	320.799610747053	265.83863340928	181.152559098707	339.969961596481	334.121409702185	371.713680926955	416.412772294793	404.488269100336	243.176353432185	342.984507018244	590.185718214944	506.149519894376	502.659134195182	423.011245158514	390.89987428951	253.615516053581	562.963814187255	378.094731567451	392.774040943821	550.279440259896	891.443860309487	312.406814529564	249.665609862827	560.678191010832	282.773942674658	497.657126473999	437.536533148469	398.299493912303	325.842691193714	642.377464684627	669.865113556199	426.30878290495	663.782888881512	445.21801284879	351.752824490058	238.841859894409	376.742617589677	729.991368808706	521.479676287509	389.751033693764	455.13178021388	138.744253345338	577.325370950369	383.290690173254	610.26561642849	241.15164650883	307.445940322458	379.766598230594	328.144775069219	299.87271771464	553.817668938959	425.085083067485	178.772925124441	578.523350273462	357.601328956236	645.885490198778	503.570277154878	481.846640622087	411.674118853201	202.88526516646	604.011535523134	363.953499318533	343.146994243479	594.644743365575	369.47040047621	311.616383465314	234.900064670373	259.358608913948	494.784441418681	808.791922992133	1308.9961143901	158.698252859852	268.404274394997	422.792537967808	528.172893794027	438.858631691214	565.240972195923	362.739056766827	226.150406074694	331.775798069503	588.293952216289	236.367795577293	208.063184986453	160.284512700108	252.569743647605	396.870930808538	316.752686871764	243.892512482404	351.778013649568	261.077068300106	610.498321201748	290.616166691084	323.682509522659	536.290489272471	637.254231330656	575.065480556476	509.848907836809	452.554939488351	632.013265689672	781.493299433996	783.455316937533	503.62428192581	643.047594929082	496.993302871366	642.691130597422	1212.13038746472	824.164519295639	498.797098057175	525.233348745662	398.649089710715	581.007859139008	187.757164848769	324.099654634398	423.328147091463	972.883125307432	568.818104872872	980.528377055278	474.351511989553	424.859238017171	289.08217627964	248.51770302517
Ornithine	95.6497831950089	113.296470227889	216.625966232197	174.940012757679	326.238370793689	378.372413918904	368.217194521247	383.208003955485	96.5217483910222	115.709794330875	356.029971926764	214.251339552403	491.68356978637	1243.96533879646	1637.57502746052	453.798141300044	79.1842652766955	64.4437109885917	264.874363777989	160.152788324857	92.9660319089556	214.331208421031	565.592082422527	491.26302490323	244.603850084985	231.554012730125	167.90268817224	211.700649076514	627.571912399921	253.154419865802	535.71325326744	628.911654605454	74.0534482314896	148.085819115646	255.832500671226	179.059608852239	278.201289886459	279.499299441522	231.087779654975	150.480064921059	55.7607821612745	90.1606411933092	172.771297691238	576.912971888793	457.312012479476	398.149537337589	218.880451603182	251.759351793192	223.375451740081	190.535992877786	193.860760853493	214.755940140973	134.350111651559	152.138895775553	202.336819238165	223.033743594748	76.40380021917	429.110665808691	305.613060343548	434.954679067441	80.279641842039	106.566247495026	788.505931126852	622.405051882673	328.531738306221	158.868940044228	117.085896546555	37.6822777112362	169.545221638317	208.137947151788	150.495437950603	260.657584565533	321.982950001102	62.1178633854962	238.378376413383	504.765592734268	327.332326325276	244.111786374913	5775.56866742735	2203.80167745061	177.517621383468	216.390016626537	186.367614270806	437.698896411311	76.6076877961897	145.90188562615	480.495831561513	317.382420185431	144.989871384403	337.506810021063	451.597734602549	101.077252526462	152.557152340558	142.613739216116	904.809128609197	362.553167338724	496.270183471772	682.24521868423	101.887931541119	805.681738994969	220.799715541935	189.991579399885	275.142620495262	130.817943067752	268.423101632438	386.101670196548	121.598052412763	415.316167722947	756.74567821325	1254.06580173194	60.4805321100319	69.5312107380735	374.587355535415	324.542845106873	471.094157395422	451.987735576821	223.258371129132	141.058188643775	116.441627514006	206.862871598301	101.358052502498	116.123483672368	75.3393550581495	262.039696852686	137.781616556075	1521.43520934546	121.308298795191	138.91557703313	161.199088962211	309.769443454859	570.821730646838	819.631301324846	390.334792800534	565.260034096649	140.703707340055	93.1523089257083	218.834951833253	574.067797867497	151.55689468311	691.786672875443	387.494827925266	418.147460572969	151.884416743847	233.712110027183	465.431714640072	1191.08910643816	247.41772226097	119.67502542636	1204.3655313065	2356.10543292901	146.081370428747	199.357095836998	309.533411739163	533.616401969996	367.599566618934	1326.05947806479	533.075226271754	468.479370782391	422.03483209978	577.816817059861
Creatine	10.6442268610769	5.33382983038474	8.14013766498529	59.2360631085319	29.1366012234276	10.3258662724309	3.88627238217066	4.15728705730344	6.033761212774	5.81037736979695	12.071161104838	4.69542884970329	33.3384318871544	141.998962786149	4225.61715028966	254.988808811828	7.6100839860767	3.18036432129357	852.82816877792	29.1145101929314	3655.83456501198	13.6495703487237	34.821681790902	56.3261761754667	6.74889634486335	5.35177723150998	10.0538248768339	19.7738420618104	186.12511210869	134.073012480995	3.48405314109967	9.59229944276806	10.4226512836973	16.6560400942111	164.349380583138	10.9188457990172	22.102372932841	25.2665680521736	7.36742575653617	6.21378374154123	11.9618195039755	5.70212928125529	4.18470553926732	4.4470601111379	596.508906475093	13.386770347690799	11.6663365165159	10.638771861045	67.4137395370063	847.54169712413	2713.20558415559	2491.75438955065	5039.29782539736	8084.18122912478	4.50611910637504	3.9077257225629998	15.7464488608022	11.6291933423348	25.279639912523	237.146013000224	23.8761049892866	8.02057912522611	209.306487123349	270.630860410119	460.9259831365	54.8323982648455	5.83073883693071	7.53443317070119	1050.94389114131	5193.05277543286	28.3135123466823	251.182246331094	62.9996083901228	4.622726119461	9.43268383366443	12.6825274879848	66.0735870357844	7.42311903032065	4522.78262732539	337.39694023776	5.87091864224054	27.4354851918982	31.0055681485477	696.414010206774	7.24391468968337	8.07106109526559	17.5781297235237	8.23168099012983	8.99933788102189	6.37830627069251	71.7491187706389	5.10729963026152	12.6255645701501	14.533790750497399	1582.07132769624	59.2330078355534	6.76744829199204	10.3459598730047	7.64006028918144	14.4541879239921	10.0826762985398	14.698623677240601	11.0728612596757	33.9180333711088	9.44552459504722	8.69773871541749	9.70145299203967	7.81770522349081	706.921764085463	1044.69978168013	36.8261556425004	8.59412018167997	8.8254452775015	5.4257955287565505	11.3296756606252	12.3095202232225	12.4652353701446	9.87081282504966	6.17630816790907	56.2344696581999	9.66903207238444	23.7886400482003	6.05496689556485	4.19892863836068	11.0781206980142	12.5364289010567	8.99040378344129	16.9220201149975	6.48834466448124	44.0789945338746	32.5749902132191	4.91537605421992	1694.83994935807	468.744611773971	70.017292341048	25.4208423375183	6.72936217730274	42.1096622225075	100.020836571092	2266.86253770756	7.96461150628934	128.008259714048	15.1909453976637	200.509808202221	37.7354953640179	204.585380508276	58.3341591675135	10.0124514953746	21.9071369344278	950.276131506761	6.93040906592109	5.07798542558671	18.1163419217375	1111.25396720765	108.389552690287	3865.48812568472	28.7190984392886	1149.78824393485	7.69407974788958	4.61554798713865
Ile	130.471006857643	82.6049444056005	174.507289217969	166.499630292752	188.665353396369	223.548059036448	242.219422623973	178.615124526785	103.993416117242	97.811478811922	108.692901971357	129.967007761878	137.210855964734	131.342643157907	123.686074964183	175.978294410385	84.9328675198829	118.86593846529	135.363810338351	127.502703180847	7452.31916289281	1140.39011789681	224.582101254142	240.1826743006	110.367472851943	195.511583812616	151.258528658488	500.126750260104	232.201978777876	200.143897543377	223.963306470595	171.689147516195	76.6934983221189	177.780610448216	253.577555458282	111.175612114131	90.7399638798185	145.912150387938	103.857668789829	133.604450805696	98.1288610882374	58.1404949778225	136.019121855025	114.823933784908	527.583249763984	170.036041398839	109.367896935138	87.3917808207301	167.895133104745	310.835338778794	125.229261793676	137.767265215204	3292.62473938021	138.786188175392	125.560419091959	146.840979269549	166.178132804524	221.422403333382	195.253949480135	391.40709766137	53.7395222131927	89.4984448053284	232.766395551647	259.455987094977	1189.39076255628	119.544472405357	228.519844891953	185.867360520222	119.659387477074	123.761784582499	142.03814576094	278.581684675827	189.972664038765	83.7833755626257	83.3033483821472	119.008740921627	225.951851305627	217.813446747043	1554.02970557771	247.22197757708	36.5587847418995	156.406345903381	109.827184886293	1142.94805899521	82.1647612020384	104.999132538061	479.883220014776	152.436179026271	88.1851538659892	129.593190133151	104.205468682444	48.4339730737366	99.2825760330032	94.8990567816452	1199.29457650255	249.753531981056	126.9264008139	176.86140271133	111.357152319251	250.705698541464	100.214270958451	93.8452892702036	167.15355744479	253.122635167994	170.177557790088	127.426384326227	192.224566812818	455.22946272007	1019.8484150353	1600.31107549858	45.9958657341889	94.9140787977887	136.199506341721	120.723513252009	447.174647613366	249.29925956725	139.328565532976	81.7720707995142	122.536299724882	212.274051071195	83.0977251604238	47.5148377935964	66.7598239092582	136.936396267217	183.736191234097	3221.27934519755	82.0773885409499	136.884495494716	89.0855063666234	612.092787956006	96.10848967479	97.1431396752373	235.549558766437	271.126596759431	365.606012121432	154.672651098316	132.114656471382	137.994542998825	387.456191211564	1150.38761908856	198.363709332622	532.441723173424	161.043170420492	200.574751397793	273.830481591239	666.99952657944	138.830881572878	92.2181032346029	586.525335199642	2679.43069630349	77.9158807630326	125.331364342408	164.393835569313	593.144791605504	141.99232149603	772.717277124785	167.891977964352	203.515652896239	89.421385405412	111.922588186248
Gln	223.335026869691	191.832044906247	156.939161003728	501.524239523048	117.480056981623	100.338831355295	249.771525326401	158.802205019183	85.0014616312086	95.4679975608909	215.094643875576	201.037324904043	371.62111968007	1048.54594889049	705.512308044704	1235.35447318779	73.2108115407227	61.179636305174	692.623811255442	127.043052235016	1009.5200611339	304.424257016283	163.656183973639	106.666108339984	128.091320827564	309.336752610192	64.8045711624544	97.4411932664297	1231.17461199094	651.426612456081	299.390715732603	192.860399199751	98.0553080283696	101.188788814278	495.736095982321	89.5595382458149	65.2968735427772	132.190291084919	85.222496806569	75.7719396900207	134.547951715369	115.269271643181	91.0600959534559	171.331259864269	523.592893830813	113.3734031288	126.789773847273	107.091222319902	266.436312526961	631.362174554222	320.933092828833	195.200227237788	305.719074600843	137.125887120596	280.237286284539	559.333225525303	57.3069349225002	102.497853395428	263.867638918056	836.561715504155	99.4192465708337	126.466119864121	951.77981642104	261.966359950087	734.345631187993	282.401893328743	243.356060928236	173.049375791699	241.916555358849	197.332423233845	157.854069500862	1299.95859251098	669.440282289018	125.011133805722	70.3019861820561	113.29615057109	406.711667437949	133.637453413625	281.285293907595	363.05262684049	94.6289437565501	121.235859701344	111.229049482088	136.007106921306	65.2583780890192	59.0205374064929	380.622466740024	209.984236898843	226.911209130817	185.668526501028	215.780338667934	57.2436351924346	138.658275374703	101.418561242403	1707.42860140913	323.598659952355	442.32743109218	642.6115693361	86.4571175630613	185.120465945253	183.618036479955	135.591839845295	278.966396306587	65.2286378595615	179.796574307735	74.2278129804751	142.535730349708	89.545129455823	491.663915403738	1227.15403463484	31.7077931723039	34.1921399140662	229.06877129959	335.767210240915	654.292783391111	42.6520822486442	160.084083188549	29.4329729828978	71.0312726419028	89.7988527831521	180.46776389762	83.5631488798429	27.8974093332229	52.2310810248905	334.038871214439	576.493999633889	83.6618921893409	128.421065889115	107.829849751286	1489.19667591525	235.435001201193	139.410558411724	658.028043593541	779.011281554506	383.492752281489	355.385500298039	92.6501307933124	574.154404314237	180.08746038242	1260.11386382999	520.848183792077	1204.36687315815	147.527297855706	491.198840039584	619.743615438895	710.887956352424	138.038811710901	77.6501952878124	183.682003624088	606.529414066984	194.630420264624	161.766667168544	324.623084592913	2432.17571922024	237.858282451323	532.877937776238	287.274238722762	521.732122896166	193.868814004713	171.484620004154
Creatinine	6.15023749164124	9.18326597294155	8.0803917700779	154.83277993558	29.5380200534844	6.76731766113854	9.33286938738535	12.2612665284263	5.88897963044099	7.89789888941041	240.63097608	3.61536942636804	9.50257193025056	218.925427757683	1957.37834434831	726.234751086272	8.89198414077125	5.62438813602921	341.106572325249	21.7820184977197	1652.43171820691	10.2439609693936	71.4332751957036	483.314117750842	40.6368750624328	5.7012150270638795	2.44856447926558	5.01981708413396	242.384221863931	131.417485968207	7.07241277657771	5.209098347982	9.68043892499952	61.8156276546385	94.8924636110553	3.98169602349641	77.8074636350723	32.9257105879122	0.0	2.15738167078179	17.4025651923217	6.03928665271104	13.4465243159473	3.46083404919859	8732.81619880458	10.8983266357331	112.492180655888	13.7159031765279	213.430439886496	187.342877835726	1758.4738960796	1434.62881356956	900.171311323325	664.04441028009	10.8297106460902	6.50040067641418	15.8381225455795	5.20874099291578	245.189931075838	763.647236309427	9.99090109504977	8.47247310290095	466.505574695834	493.153337990889	467.125971920731	4.5449339535357804	11.8438376545133	4.24065846395161	4159.08478180455	3929.31522155454	27.243065095471	856.574492341671	533.288671961922	6.5995774178285505	126.841914800619	36.8057540425912	207.448889447793	10.2129941222624	1615.50715917903	378.554160619423	15.8101152267654	7.37727209307835	24.9102720655742	689.634239579521	4.22123508127457	6.476124846398	50.9456714673155	8.05939803144974	60.8072212893263	14.7038397475706	120.001625431871	14.6687090753272	6.21419371667597	14.5396011146868	1131.36218479358	115.09167224354	6.96392078764425	13.2992239214921	0.0	13.0007292247433	4.51405631669022	10.9689752414969	0.0	262.350925466048	10.8168816278193	14.7583425741252	2.36631030790474	0.0	119.102168160217	421.158190265868	715.007704565302	4.77751537572536	13.1542230879351	7.74274180827451	21.9810438356531	21.6103309686915	11.0563413718557	3.24521819764128	15.6586470047554	5.01952056019574	9.40222940097073	35.7768443630259	10.3414857385186	16.7051426149746	13.4754114506303	10.9356037614493	6.02609261576954	6.84541971709972	9.00093219723149	23.1195351493069	19.3239418121073	6.76456921205195	351.584406731185	210.761362647206	72.5139964559954	10.9800348464048	10.4418887816042	263.680563136652	339.140615990679	1757.28043375783	18.5226608713622	76.7071581659976	9.13025213998224	195.388632878291	250.7588353022	512.055059861165	13.9149667007592	11.2738771613288	25.5210566053741	1341.81204002192	7.58587131139239	5.94248793274843	11.0900368233006	335.64463082446	810.283587393566	2066.05395360335	18.1711634336838	1069.52021456731	4.02317614394069	4.42849752919539
3-Hydroxybutyric acid	235.750924191899	216.708722575147	182.145881283117	334.286463798824	336.708352185118	352.678873054192	458.1089982522	348.532790079581	165.205294466206	86.4636638773178	222.581965682463	227.058965391627	389.974671451638	1068.27281841035	580.785142469925	811.476574765811	0.0	0.0	1117.84055534808	0.0	495.769255243932	220.1814509819	151.872015266277	206.92105168514	132.009995688889	116.845670964083	126.249003333007	512.07808321464	181.159614926194	134.917435805512	285.362384532742	282.112452572295	0.0	176.65890780325	0.0	0.0	0.0	145.194141424733	61.8278455003074	97.9430232572331	173.146283419589	177.343335338113	72.2305651623575	108.744516384318	531.040588018818	160.207044620048	96.8911878750255	114.512589834601	113.283753610471	162.701074761542	1633.62851148831	1231.9860353198	1844.95952425361	237.047546640244	307.32263740467	486.734374919737	0.0	0.0	0.0	108.540721267212	214.467331527677	168.034574904299	0.0	331.548041471951	1348.25457256884	282.481250972785	90.5678452505402	125.786012435489	646.083615399758	1337.96940995513	127.368067835968	1212.80171880759	190.340403188041	0.0	111.565200266031	176.823347358937	324.000991020745	270.905448429386	2187.55197158393	1610.37029965448	0.0	97.7539317259121	146.567524491513	879.644388894839	105.352639647631	238.391129258789	0.0	146.614532025577	265.351059782886	296.881327287021	299.348599480507	326.657381868086	353.436085424224	220.198849068029	476.014778051894	184.470829648208	423.556487518811	581.087012131522	0.0	119.378352369323	215.582641254442	244.50741940239	152.404912213987	0.0	143.067634879801	150.449506521063	0.0	196.715307491005	113.195945754259	622.705066888899	0.0	110.824753035488	223.064127722853	1767.84714649584	92.6897690904856	0.0	83.6352737507885	128.105375659471	138.927641099216	125.8928998084	173.224793304278	157.15326347447	66.48056989631	148.301655844547	163.176013141789	368.946205151419	0.0	131.483082117512	0.0	202.934276011014	104.527771268077	124.073457800283	373.900343700547	416.577750187677	238.190268392456	204.478481602193	406.878278147233	911.482353647835	87.1994283855404	549.674651712996	151.657934026963	158.356791761268	0.0	175.888161257034	944.27061463246	446.195669338039	85.8296800645672	133.151664754374	279.462390701903	182.716400163887	0.0	0.0	267.640544851245	1445.87340473959	325.073931814334	306.758721348534	0.0	430.136114554096	0.0	0.0
